Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,adjectives,WordCount,sent_neg,sent_neu,sent_pos,label
7598,4,2,0,104,1296,0.146,0.78,0.075,FAKE
2676,4,21,0,30,446,0.074,0.837,0.089,FAKE
2567,4,4,0,34,431,0.054,0.852,0.094,REAL
2696,5,60,1,33,404,0.084,0.837,0.08,FAKE
1840,4,8,2,18,317,0.066,0.789,0.145,REAL
13469,4,52,4,171,2346,0.122,0.77,0.108,FAKE
3221,4,5,0,24,553,0.089,0.855,0.055,FAKE
791,5,23,0,9,123,0.077,0.881,0.042,REAL
14226,5,99,0,152,2347,0.101,0.805,0.093,REAL
4300,5,21,0,59,710,0.071,0.842,0.088,REAL
3212,4,13,1,40,541,0.024,0.869,0.107,REAL
2600,5,2,0,39,399,0.073,0.85,0.078,REAL
1446,5,8,3,19,212,0,0.924,0.076,FAKE
290,4,10,0,5,53,0.071,0.871,0.058,FAKE
117,5,0,0,2,17,0.216,0.784,0,REAL
19415,5,176,2,336,3146,0.016,0.896,0.089,REAL
922,5,6,1,7,142,0.187,0.737,0.076,FAKE
1543,4,6,5,22,282,0.082,0.813,0.104,FAKE
7095,5,21,0,85,1155,0.045,0.866,0.089,REAL
1702,5,30,0,23,280,0.01,0.909,0.08,REAL
4587,5,13,0,67,759,0.054,0.871,0.076,REAL
1191,4,30,0,16,203,0.026,0.869,0.105,FAKE
4464,5,22,0,53,702,0.091,0.86,0.05,REAL
9107,5,62,0,147,1473,0.075,0.796,0.129,REAL
4990,5,30,0,83,816,0.059,0.83,0.111,FAKE
7476,5,9,0,85,1234,0.074,0.843,0.084,REAL
1975,4,6,1,20,331,0.068,0.818,0.114,REAL
1836,5,0,0,29,295,0.127,0.812,0.061,REAL
3578,5,0,0,63,581,0.113,0.789,0.098,REAL
4419,5,42,0,79,695,0.106,0.849,0.045,FAKE
154,4,6,0,1,28,0,1,0,REAL
3285,5,6,3,62,533,0.01,0.887,0.103,FAKE
4587,4,6,4,63,768,0.091,0.779,0.13,FAKE
1917,4,16,0,22,323,0.023,0.866,0.111,FAKE
7112,4,22,8,126,1233,0.15,0.679,0.171,FAKE
2356,5,20,0,30,356,0.032,0.918,0.05,FAKE
