Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,adjectives,WordCount,sent_neg,sent_neu,sent_pos,label
3940,5,13,0,63,639,0.132,0.82,0.048,0
7105,5,47,1,115,1167,0.036,0.828,0.136,1
3443,5,4,0,38,529,0.063,0.799,0.137,0
3441,4,0,0,72,577,0.027,0.856,0.118,1
5910,5,22,0,90,921,0.001,0.909,0.09,1
942,5,4,0,13,147,0.007,0.91,0.083,0
711,4,0,0,7,125,0.221,0.697,0.082,0
6441,5,20,0,81,1000,0.049,0.876,0.075,0
14072,4,76,4,205,2476,0.118,0.727,0.155,0
7290,5,27,0,107,1185,0.088,0.842,0.071,1
5422,4,19,1,84,917,0.049,0.871,0.08,1
520,4,0,0,8,93,0.038,0.838,0.124,0
10932,5,30,6,171,1741,0.037,0.854,0.108,1
2921,4,11,0,49,500,0.036,0.845,0.118,1
190,5,0,0,2,29,0.0,0.903,0.097,1
1261,4,6,0,17,220,0.025,0.819,0.156,0
9802,5,39,0,143,1508,0.048,0.851,0.101,1
675,5,16,0,14,112,0.062,0.86,0.078,1
1348,4,5,0,17,234,0.233,0.761,0.006,0
8835,4,57,0,133,1526,0.062,0.794,0.144,1
167,4,0,0,0,29,0.0,0.909,0.091,1
1323,4,10,1,14,228,0.105,0.745,0.15,0
4921,4,51,0,85,844,0.197,0.739,0.064,1
1825,4,4,1,24,326,0.146,0.744,0.11,0
8880,5,55,0,150,1330,0.125,0.801,0.074,0
5974,5,10,0,110,915,0.078,0.824,0.098,1
2294,5,40,0,40,365,0.087,0.88,0.033,1
999,5,9,0,15,149,0.032,0.874,0.094,1
1605,5,55,0,32,250,0.124,0.806,0.07,1
587,6,0,0,5,81,0.033,0.938,0.03,1
7485,4,44,0,99,1249,0.061,0.848,0.091,1
3160,5,22,2,44,471,0.015,0.919,0.066,1
4499,5,15,0,57,723,0.137,0.799,0.064,0
906,4,3,0,14,152,0.115,0.758,0.127,0
4096,5,15,1,53,669,0.038,0.838,0.124,1
758,4,1,0,7,130,0.055,0.88,0.064,0
3898,5,9,1,48,638,0.188,0.749,0.064,0
5038,4,20,0,66,841,0.092,0.732,0.176,0
3296,5,54,0,43,503,0.131,0.78,0.089,1
12217,5,19,0,171,1893,0.116,0.765,0.118,1
3265,5,12,0,29,508,0.01,0.935,0.055,1
3845,4,10,0,54,664,0.038,0.817,0.146,0
759,4,32,0,7,129,0.039,0.928,0.033,1
3961,4,1,0,49,727,0.157,0.746,0.097,0
450,5,1,0,5,70,0.113,0.814,0.073,1
7562,5,180,0,84,1253,0.035,0.842,0.123,1
519,4,0,0,3,94,0.024,0.854,0.122,0
4574,5,23,1,59,730,0.055,0.843,0.102,0
700,4,10,0,8,133,0.013,0.849,0.138,0
5221,5,26,12,62,844,0.187,0.743,0.071,0
7616,4,41,0,87,1276,0.123,0.798,0.079,0
1075,5,18,0,18,177,0.063,0.912,0.025,1
10610,5,121,4,112,1731,0.2,0.732,0.067,1
6742,5,59,0,129,1061,0.226,0.697,0.077,0
2963,5,11,2,32,476,0.023,0.886,0.091,1
16001,4,498,10,161,2641,0.056,0.834,0.11,1
41,7,0,0,0,5,0.0,0.635,0.365,0
4716,5,33,0,61,732,0.024,0.899,0.077,1
7806,4,0,8,95,1345,0.137,0.748,0.116,0
1695,4,11,1,24,289,0.136,0.814,0.05,0
9892,5,161,0,107,1600,0.035,0.926,0.04,1
777,4,5,0,8,141,0.055,0.897,0.048,0
491,5,2,0,6,73,0.087,0.757,0.156,0
888,4,0,0,12,153,0.045,0.787,0.168,0
4891,4,24,0,64,843,0.172,0.756,0.073,0
7652,5,66,0,146,1156,0.039,0.879,0.082,0
5439,5,23,0,70,825,0.101,0.823,0.076,1
5400,5,21,0,76,851,0.179,0.773,0.048,1
51,4,0,0,1,9,0.481,0.519,0.0,1
5045,4,15,0,77,841,0.038,0.835,0.127,1
49,7,0,0,0,6,0.0,1.0,0.0,0
2391,5,5,0,33,388,0.018,0.859,0.123,1
6466,5,24,0,105,1056,0.089,0.804,0.107,1
1669,4,12,3,23,294,0.117,0.783,0.1,0
1328,4,8,0,21,223,0.051,0.862,0.088,1
626,4,2,0,9,109,0.146,0.776,0.078,0
1324,5,0,0,15,215,0.089,0.79,0.121,0
921,5,0,0,9,141,0.145,0.796,0.06,0
2574,4,21,2,27,435,0.098,0.762,0.14,0
1838,5,6,0,31,302,0.098,0.849,0.053,1
1339,5,2,0,16,215,0.132,0.776,0.092,0
1027,5,1,0,11,171,0.051,0.828,0.121,0
4300,4,7,0,44,736,0.154,0.75,0.097,0
4331,5,67,0,70,678,0.179,0.706,0.115,1
8141,5,273,1,95,1245,0.049,0.874,0.077,0
3715,5,6,0,45,607,0.154,0.784,0.062,0
1680,5,2,0,22,252,0.09,0.827,0.083,1
1232,4,0,0,12,211,0.036,0.805,0.159,0
