Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,adjectives,WordCount,sent_neg,sent_neu,sent_pos,label
82,6,0,0,1,11,0.115,0.692,0.192,FALSE
141,4,0,0,1,24,0.0,0.902,0.098,TRUE
105,4,0,0,0,19,0.107,0.687,0.206,TRUE
78,5,0,0,2,12,0.0,0.606,0.394,FALSE
54,4,0,0,1,10,0.0,1.0,0.0,TRUE
155,4,2,0,5,27,0.12,0.836,0.043,TRUE
69,4,0,0,0,13,0.0,1.0,0.0,FALSE
159,4,0,0,3,27,0.045,0.874,0.08,TRUE
144,5,3,0,1,23,0.0,1.0,0.0,TRUE
132,5,3,0,2,21,0.0,1.0,0.0,TRUE
116,4,0,0,4,21,0.0,0.792,0.208,TRUE
94,4,6,0,1,16,0.18,0.82,0.0,TRUE
124,4,0,0,0,22,0.085,0.81,0.105,FALSE
60,5,2,0,1,10,0.0,1.0,0.0,TRUE
95,5,0,0,1,16,0.153,0.69,0.158,FALSE
181,4,6,0,4,33,0.0,1.0,0.0,TRUE
146,6,0,0,3,19,0.0,1.0,0.0,TRUE
116,4,0,0,1,22,0.0,0.76,0.24,FALSE
125,4,3,0,1,22,0.0,1.0,0.0,TRUE
49,5,6,0,1,8,0.0,1.0,0.0,TRUE
117,4,0,0,1,20,0.0,1.0,0.0,FALSE
71,4,0,0,3,13,0.0,0.643,0.357,TRUE
70,4,0,0,1,14,0.0,0.756,0.244,TRUE
85,5,6,0,0,14,0.085,0.621,0.294,TRUE
56,4,0,0,2,10,0.0,1.0,0.0,FALSE
37,4,0,0,0,7,0.0,1.0,0.0,FALSE
93,5,0,0,1,14,0.222,0.778,0.0,TRUE
136,4,0,0,2,23,0.0,0.788,0.212,TRUE
87,5,8,0,0,14,0.0,0.861,0.139,FALSE
69,5,4,0,0,11,0.225,0.775,0.0,TRUE
40,4,0,0,0,7,0.0,1.0,0.0,TRUE
132,4,0,0,2,24,0.0,0.878,0.122,FALSE
171,4,0,0,4,32,0.0,1.0,0.0,FALSE
84,4,2,0,1,16,0.128,0.793,0.079,TRUE
56,4,2,0,0,11,0.0,1.0,0.0,TRUE
94,4,0,0,1,16,0.0,0.915,0.085,TRUE
94,4,2,0,0,19,0.0,1.0,0.0,TRUE
200,5,8,0,5,33,0.0,0.93,0.07,TRUE
131,5,0,0,1,20,0.151,0.849,0.0,FALSE
127,4,4,0,0,22,0.2,0.8,0.0,TRUE
108,4,0,0,1,19,0.0,0.696,0.304,FALSE
87,4,2,0,0,16,0.144,0.773,0.083,TRUE
104,5,0,0,4,16,0.16,0.631,0.209,FALSE
136,4,0,0,2,23,0.0,0.942,0.058,FALSE
145,5,0,0,1,23,0.191,0.742,0.066,FALSE
93,6,4,0,2,12,0.367,0.633,0.0,TRUE
92,5,0,0,1,14,0.0,1.0,0.0,FALSE
97,5,0,0,1,15,0.162,0.838,0.0,FALSE
129,5,0,0,0,21,0.0,0.87,0.13,FALSE
78,6,4,0,1,11,0.0,1.0,0.0,TRUE
134,5,0,0,1,21,0.0,1.0,0.0,FALSE
63,5,0,0,1,10,0.0,1.0,0.0,FALSE
91,4,0,0,0,16,0.0,1.0,0.0,FALSE
162,4,6,0,3,31,0.143,0.8,0.057,TRUE
85,3,0,0,0,18,0.0,1.0,0.0,FALSE
63,4,2,0,0,12,0.0,1.0,0.0,TRUE
169,4,4,0,2,32,0.0,1.0,0.0,TRUE
129,4,2,0,1,24,0.0,0.888,0.112,FALSE
63,6,0,0,0,9,0.0,1.0,0.0,FALSE
109,4,8,0,0,20,0.0,1.0,0.0,TRUE
70,4,1,0,2,13,0.0,1.0,0.0,FALSE
92,6,0,0,1,13,0.0,1.0,0.0,TRUE
124,5,0,0,2,20,0.0,0.833,0.167,TRUE
108,5,12,0,2,17,0.0,1.0,0.0,TRUE
57,6,0,0,1,8,0.0,1.0,0.0,FALSE
76,5,3,0,1,12,0.286,0.584,0.13,FALSE
139,5,0,0,1,21,0.0,0.757,0.243,TRUE
121,4,0,0,1,24,0.0,1.0,0.0,FALSE
106,5,0,0,0,17,0.0,1.0,0.0,FALSE
94,4,0,0,1,16,0.0,0.927,0.073,FALSE
