Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,adjectives,WordCount,sent_neg,sent_neu,sent_pos,label
2195,5,1,0,17,343,0.225,0.725,0.05,1
1365,5,43,0,15,208,0.047,0.871,0.082,1
4377,4,12,1,70,738,0.066,0.832,0.102,1
4304,4,14,0,58,721,0.1,0.769,0.131,1
2219,5,21,0,25,358,0.181,0.776,0.043,1
5229,4,11,5,55,880,0.112,0.785,0.103,1
6295,5,20,0,81,1020,0.137,0.781,0.082,1
3104,5,20,0,42,504,0.029,0.878,0.093,1
9058,5,36,0,104,1426,0.08,0.812,0.108,1
3623,5,25,0,32,556,0.048,0.847,0.105,1
4799,4,15,0,63,810,0.085,0.829,0.087,1
2320,5,49,0,31,366,0.114,0.73,0.156,1
6284,5,2,0,90,966,0.115,0.802,0.083,1
5822,5,27,0,77,913,0.063,0.868,0.068,1
7176,5,2,2,100,1116,0.092,0.789,0.12,1
6414,5,0,0,73,944,0.075,0.848,0.078,1
8641,5,16,1,117,1388,0.066,0.761,0.173,1
5438,5,12,0,67,827,0.067,0.862,0.071,1
3844,5,72,0,65,624,0.033,0.851,0.116,1
3473,4,32,0,39,596,0.081,0.807,0.112,1
5390,5,14,0,79,837,0.05,0.819,0.13,1
5826,4,30,0,87,1029,0.029,0.807,0.164,1
6926,5,50,0,86,1125,0.105,0.811,0.085,1
2955,5,7,0,34,486,0.078,0.836,0.085,1
3889,5,7,1,58,642,0.068,0.796,0.136,1
8061,5,27,0,86,1232,0.115,0.8,0.086,1
2312,5,23,0,32,377,0.018,0.908,0.074,1
7274,5,7,0,96,1143,0.038,0.872,0.09,1
9975,5,69,0,174,1584,0.109,0.76,0.131,1
5196,5,18,0,88,828,0.059,0.841,0.099,1
4990,5,4,0,58,813,0.097,0.798,0.105,1
4606,5,13,0,51,730,0.058,0.8,0.142,1
6084,5,34,0,96,977,0.048,0.879,0.072,1
1318,4,4,0,14,225,0.184,0.761,0.055,1
11235,5,88,0,156,1843,0.062,0.881,0.057,1
7634,5,48,0,113,1151,0.057,0.859,0.084,1
7982,5,28,0,115,1304,0.037,0.861,0.103,1
2426,4,16,0,27,408,0.066,0.814,0.12,1
3699,5,43,0,56,612,0.013,0.893,0.093,1
6752,5,32,0,65,1071,0.09,0.871,0.039,1
2880,5,4,0,39,444,0.083,0.849,0.068,1
15706,4,106,0,187,2640,0.116,0.794,0.09,1
6438,5,15,0,98,1017,0.124,0.812,0.064,1
5155,5,61,0,46,813,0.103,0.845,0.052,1
818,5,13,0,12,123,0.246,0.727,0.027,1
4620,4,50,0,45,780,0.065,0.785,0.15,1
1649,5,2,1,26,268,0.057,0.829,0.114,1
12194,4,44,0,140,2160,0.075,0.836,0.089,1
4613,5,16,0,37,728,0.108,0.84,0.052,1
4492,4,2,4,58,746,0.082,0.744,0.174,1
3385,5,15,1,51,547,0.054,0.879,0.067,1
2039,5,9,0,23,336,0.2,0.754,0.045,1
10201,4,74,0,112,1694,0.071,0.84,0.089,1
4850,5,6,0,92,765,0.147,0.781,0.073,1
4596,4,12,0,72,771,0.097,0.846,0.057,1
1900,5,0,0,23,309,0.089,0.83,0.081,1
4175,5,81,0,53,670,0.027,0.882,0.091,1
120,5,3,0,1,20,0.286,0.714,0.0,1
2528,5,7,1,25,404,0.023,0.92,0.056,1
1097,4,6,0,9,186,0.075,0.918,0.007,1
3342,5,34,0,38,547,0.171,0.785,0.044,1
5921,5,11,0,88,941,0.094,0.807,0.099,1
1958,5,31,0,27,313,0.021,0.923,0.056,1
1725,5,4,0,14,275,0.066,0.788,0.145,1
8811,5,68,0,99,1435,0.092,0.814,0.094,1
7346,5,32,0,126,1077,0.045,0.858,0.097,1
5985,5,24,0,55,928,0.046,0.919,0.035,1
3775,5,33,0,48,616,0.023,0.915,0.062,1
1477,4,21,0,22,247,0.067,0.871,0.062,1
4419,4,37,0,55,757,0.072,0.883,0.044,1
5112,5,93,0,50,826,0.06,0.885,0.055,1
4990,5,31,0,49,814,0.046,0.854,0.1,1
2544,4,19,0,28,455,0.05,0.9,0.05,1
6286,4,16,1,101,1083,0.098,0.758,0.145,1
4134,5,10,0,53,654,0.133,0.748,0.119,1
3556,4,18,0,43,599,0.073,0.838,0.088,1
9818,5,34,0,134,1586,0.092,0.731,0.177,1
5894,5,86,0,59,873,0.038,0.88,0.082,1
4347,5,6,0,53,712,0.103,0.792,0.105,1
2933,5,23,0,29,463,0.101,0.827,0.073,1
20234,5,88,0,306,3231,0.104,0.827,0.069,1
2723,4,46,0,42,464,0.024,0.838,0.138,1
19432,4,203,0,332,3276,0.089,0.838,0.073,1
477,4,0,0,4,81,0.027,0.895,0.078,1
5967,5,70,0,119,934,0.058,0.822,0.12,1
2515,5,26,0,29,413,0.103,0.857,0.039,1
3952,5,7,0,34,646,0.134,0.821,0.045,1
4238,5,4,0,58,667,0.087,0.781,0.132,1
2602,5,15,0,27,403,0.183,0.735,0.082,1
2719,4,2,0,32,459,0.05,0.817,0.133,1
10456,5,61,0,121,1673,0.07,0.826,0.104,1
5637,5,4,0,68,895,0.158,0.766,0.075,1
6169,4,30,2,63,1022,0.14,0.774,0.086,1
3540,5,6,0,42,562,0.067,0.846,0.087,1
5675,4,54,0,87,992,0.026,0.829,0.145,1
1462,5,2,0,26,229,0.21,0.721,0.07,1
2977,4,58,0,25,511,0.19,0.755,0.055,1
3370,4,42,0,48,595,0.066,0.803,0.131,1
3759,4,0,0,51,633,0.103,0.775,0.122,1
10750,5,26,0,145,1643,0.126,0.788,0.086,1
1253,4,26,0,12,227,0.111,0.833,0.056,1
2048,4,20,0,24,354,0.051,0.901,0.048,1
1175,4,11,0,15,201,0.051,0.827,0.123,1
12241,5,75,0,201,1863,0.046,0.859,0.095,1
4773,4,19,0,62,792,0.08,0.753,0.167,1
14220,4,228,0,244,2367,0.031,0.922,0.048,1
1375,5,29,0,18,214,0.111,0.815,0.074,1
4561,5,10,7,47,697,0.137,0.798,0.065,1
4822,5,7,2,73,756,0.072,0.803,0.125,1
4141,4,8,0,58,724,0.039,0.851,0.11,1
8712,4,43,0,102,1523,0.074,0.738,0.189,1
3574,4,3,1,54,608,0.185,0.699,0.116,1
5810,4,10,1,56,968,0.113,0.81,0.077,1
5699,5,22,0,75,915,0.165,0.75,0.085,1
1296,4,8,0,8,218,0.13,0.829,0.041,1
1748,5,4,0,16,269,0.14,0.851,0.009,1
12425,4,27,0,141,2101,0.065,0.836,0.099,1
8895,5,70,0,99,1455,0.133,0.813,0.053,1
2335,4,33,0,36,401,0.046,0.912,0.041,1
3944,5,6,0,48,643,0.067,0.811,0.122,1
2721,5,12,0,42,412,0.097,0.781,0.122,1
8601,4,27,4,77,1482,0.103,0.768,0.129,1
5552,5,28,0,88,897,0.098,0.73,0.172,1
4383,5,23,0,52,695,0.043,0.876,0.081,1
4957,5,2,0,62,792,0.123,0.762,0.114,1
28944,5,197,1,364,4674,0.069,0.832,0.099,1
1390,5,12,0,17,226,0.114,0.737,0.149,1
1790,5,19,0,17,281,0.077,0.888,0.035,1
3209,5,31,0,29,531,0.062,0.899,0.039,1
5025,5,10,1,84,771,0.116,0.823,0.061,1
6627,5,29,0,79,1080,0.109,0.814,0.077,1
6914,5,9,0,101,1074,0.066,0.816,0.117,1
1720,5,38,0,15,277,0.053,0.877,0.07,1
5188,4,16,2,67,934,0.201,0.718,0.082,1
7056,5,33,0,94,1108,0.088,0.852,0.059,1
10004,5,20,0,116,1590,0.068,0.817,0.114,1
5046,5,29,0,73,803,0.051,0.876,0.073,1
1757,5,14,0,26,290,0.078,0.915,0.006,1
6930,5,8,1,114,1120,0.087,0.83,0.083,1
2381,5,43,0,41,371,0.166,0.794,0.041,1
4129,5,31,0,58,667,0.047,0.841,0.111,1
2556,5,10,0,31,417,0.046,0.858,0.096,1
5349,5,36,2,68,817,0.087,0.766,0.147,1
2205,5,8,0,23,338,0.108,0.789,0.102,1
2534,5,11,0,23,395,0.174,0.811,0.014,1
7383,4,41,0,98,1253,0.105,0.75,0.145,1
6004,5,7,0,70,910,0.126,0.808,0.066,1
5889,5,21,0,63,966,0.09,0.789,0.121,1
7200,5,36,0,89,1108,0.132,0.805,0.062,1
11164,5,23,4,106,1808,0.081,0.793,0.126,1
6749,5,20,2,91,1032,0.052,0.833,0.115,1
3705,5,0,0,40,612,0.089,0.801,0.111,1
4295,5,15,0,56,708,0.072,0.795,0.132,1
3073,5,10,1,42,486,0.132,0.746,0.122,1
1814,5,16,0,22,299,0.049,0.926,0.025,1
3864,5,4,0,59,626,0.075,0.871,0.055,1
3887,5,2,0,54,625,0.136,0.791,0.073,1
4151,5,19,0,42,645,0.071,0.883,0.046,1
23774,4,130,3,290,4061,0.058,0.797,0.145,1
4412,5,12,0,59,721,0.092,0.851,0.057,1
4376,5,14,0,54,641,0.044,0.816,0.14,1
1585,5,10,0,24,260,0.054,0.867,0.079,1
4958,5,2,0,67,757,0.042,0.85,0.108,1
5767,5,38,2,57,906,0.148,0.804,0.048,1
4942,5,26,0,56,754,0.105,0.832,0.063,1
4271,4,9,0,23,726,0.091,0.878,0.031,1
4630,5,16,0,64,759,0.031,0.881,0.088,1
2837,5,6,0,33,461,0.107,0.763,0.13,1
4606,5,8,0,49,758,0.129,0.791,0.08,1
4982,5,13,0,49,801,0.094,0.833,0.074,1
16431,5,22,2,231,2711,0.043,0.826,0.13,1
4353,5,16,0,58,694,0.087,0.74,0.173,1
7145,5,169,1,95,1159,0.071,0.871,0.058,1
2035,4,28,0,29,358,0.054,0.879,0.066,1
8920,5,35,0,119,1339,0.023,0.903,0.074,1
1737,5,2,0,27,266,0.116,0.8,0.083,1
2934,5,19,0,29,462,0.08,0.871,0.049,1
4154,5,0,1,36,630,0.057,0.804,0.138,1
10828,4,170,3,117,1906,0.055,0.806,0.139,1
3927,4,8,1,27,692,0.127,0.801,0.072,1
5128,4,0,0,72,851,0.114,0.832,0.055,1
2571,5,14,0,23,395,0.104,0.842,0.053,1
7468,5,78,1,91,1180,0.055,0.877,0.068,1
5563,5,34,0,69,868,0.047,0.861,0.092,1
8666,5,8,0,107,1409,0.079,0.839,0.082,1
7871,5,19,0,110,1281,0.086,0.783,0.132,1
4713,4,16,0,32,815,0.054,0.874,0.072,1
6351,5,4,0,92,964,0.08,0.752,0.168,1
5076,5,4,0,71,768,0.157,0.776,0.066,1
4979,4,23,0,44,845,0.071,0.846,0.083,1
5485,4,15,0,69,943,0.127,0.728,0.145,1
11902,5,29,3,151,1900,0.06,0.81,0.129,1
4193,4,16,0,43,732,0.041,0.868,0.091,1
3189,5,4,0,27,517,0.096,0.785,0.119,1
15682,4,44,8,219,2630,0.08,0.777,0.142,1
6953,5,38,0,107,1033,0.051,0.797,0.152,1
3753,5,8,0,36,580,0.035,0.842,0.123,1
1790,4,22,0,20,299,0.051,0.847,0.102,1
5293,5,6,0,48,813,0.086,0.81,0.104,1
3702,4,10,0,49,623,0.048,0.82,0.132,1
15514,5,144,0,270,2475,0.118,0.81,0.072,1
885,5,0,0,2,137,0.076,0.924,0.0,1
32764,4,138,1,398,5510,0.07,0.812,0.118,1
5654,5,9,0,77,901,0.043,0.882,0.075,1
2817,5,6,0,21,447,0.089,0.813,0.098,1
4919,5,48,0,51,777,0.018,0.931,0.05,1
1548,4,22,0,19,269,0.081,0.842,0.078,1
4781,4,18,0,39,851,0.039,0.851,0.111,1
3492,5,11,0,51,576,0.081,0.764,0.155,1
